"Groovy Gruyere",499,10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","gruyere.jpg",1
"Good-looking Goat",299,20,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","goat_cheese.jpeg",1
"Breezy Brie",499,15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","brie.jpg",2
"Sagging Salami",699,15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","salami.jpg",4
"Bacciferous Basket",7500,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","basket.jpg",4
"Blase Blanket",2000,20,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","blanket.jpg",4
"Grecian Grapes",700,13,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","grapes.jpg",5
"Cheap Cheese Slicer",800,15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","slicer.jpeg",7
"Saggy Sampler",2000,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","sampler.jpg",8
"Almost Almonds",900,25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent in enim dapibus, volutpat ex tempus, gravida lacus. Vivamus mattis sagittis odio, eu ornare lorem posuere in. Vivamus viverra odio ex, vel laoreet mi facilisis ut.","almonds.jpg",8
Prociutto,1600,35,"The quality of prosciutto is entirely in how it's cured. The outside of the ham is usually rubbed with just salt and sometimes a mix of spices. This draws out moisture and concentrates the flavor while the ham slowly air-dries (very much like dry-aged beef). This process can take anywhere from a few months to a several years depending on the desired result.","http://f.tqn.com/y/foodreference/1/W/y/3/-/-/182025119.jpg",1
Chorizo,1500,25,"Garlic, salt, herbs and other seasonings are then added, perhaps with a little white wine to speed the natural fermentation process. It then rests for two days. This curing gives chorizo its typical slightly acidic taste. Finally, they are then tied and hung up to dry.","http://assets.epicurious.com/photos/57aa23ebde966cd27ad74903/2:1/w_1260,h_630/chorizo.jpg",2
Rosemary Pork And Chicken Terrine,1800,20,"And to think that the general public thinks that liver pâté is to be enjoyed in moderation! Our little secret is that we perfectly know that those pâtés are full of healthy saturated animal fats. A classic recipe, this pâté is distinctive for the pastis used in the recipe, and the generous blanket of whole fennel seeds on the top. ","https://s-media-cache-ak0.pinimg.com/originals/34/3a/8d/343a8d090f962842487d1811aedecdb0.jpg",3
Siberian Sturgeon Caviar,8000,10,"We offer the finest caviar raised through sustainable means, comparable to the wild stocks of the Caspian Sea.","http://caviar.com/wp-content/uploads/caviar-siberian-sturgeon-1.jpg",4
Picnic Meatballs,1000,100,"Deliciously perfect meatballs, drilled round and bite size for your picnic basket.","http://maximizedliving.com/wp-content/uploads/2011/09/swedish-meatballs.jpg",5
Moroccan Olives,800,50,"The color of an olive indicates the stage of ripeness at which it was picked. Green olives are olives picked before they are ripe, usually in September or October. They should have a firm texture and nutty flavor. What we refer to as 'black' olives actually run the gamut from light brown, to beautiful shades of red and purple, all to way to deepest black. Moroccan olives are a deep dark red, almost sweet in flavor.","http://epicureandculture.com/wp-content/uploads/2015/12/olives.jpg",6
Popcorn,300,50,"Corn. Yellow and tall. Harvested at its prime and prepared for popping. Stored in bags of latest quality to ensure maximum freshness for your picnic eats.","http://www.whatwillyoustore.com/wp-content/uploads/2016/01/Popcorn-Bucket.jpg",7
Sauternes,7000,20,"Sauternes is a French sweet wine from the Sauternais region of the Graves section in Bordeaux.","sauternes.jpg",8
Madeira,4000,20,"Madeira is a fortified Portuguese wine made in the Madeira Islands. Madeira is produced in a variety of styles ranging from dry wines which can be consumed on their own as an aperitif, to sweet wines more usually consumed with dessert.","http://catavino.net/wp-content/uploads/2015/06/6755024641_847daf3b3e_b.jpg",9
"Tovaritch! Premium Vodka",3000,20,"Gold rated. Incredibly pure and neutral on the nose with perfect refinement and subtlety. Soft and laser-precise on the palate with a seamless balance and great length of flavor. Velvety and mouth-filling in style.","https://s.thestreet.com/files/tsc/v2008/photos/all-pics/food/Tovaritch_inside-large.jpg",10
